SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,3.07631,0.164643,0.14978,1.35501,0.899693
R,6.34459,0.164248,0.149531,1.35115,0.89722
L,0.921883,0.163879,0.149234,1.34732,0.894736
R,2.59434,0.163564,0.14896,1.34353,0.892311
L,2.0101,0.163161,0.148616,1.33971,0.889862
R,7.71933,0.162727,0.14826,1.3359,0.887404
L,2.50673,0.162303,0.147853,1.33212,0.884923
R,5.37434,0.161914,0.14744,1.32839,0.882425
L,12.6581,0.161459,0.147136,1.32466,0.879973
R,3.08431,0.161011,0.146933,1.32095,0.877592
L,2.80232,0.160612,0.146658,1.31729,0.875193
R,2.42063,0.160222,0.146321,1.31365,0.872772
L,2.59261,0.159797,0.145934,1.31004,0.870378
R,1.39173,0.159391,0.145559,1.30646,0.867999
L,1.22353,0.158958,0.145201,1.30291,0.865639
R,7.47845,0.158549,0.144879,1.2994,0.8633
L,0.466995,0.158125,0.144535,1.2959,0.860976
R,0.782131,0.157709,0.144188,1.29244,0.858674
L,3.07255,0.157293,0.143804,1.28899,0.856424
R,1.27599,0.156879,0.143434,1.28558,0.854241
L,0.349996,0.156488,0.143083,1.28219,0.852106
R,2.61997,0.15612,0.142789,1.27883,0.850092
L,0.624717,0.155743,0.142488,1.2755,0.848085
R,0.57419,0.15537,0.142249,1.27219,0.846154
L,0.637805,0.15497,0.142063,1.26893,0.844273
R,2.69214,0.154575,0.141854,1.26569,0.842299
L,2.63697,0.15418,0.141573,1.26248,0.840288
R,0.264717,0.153789,0.141326,1.25931,0.838308
L,1.21125,0.153469,0.14111,1.25624,0.836357
R,0.635417,0.153196,0.140931,1.25322,0.834464
L,0.968352,0.152881,0.140733,1.2502,0.832577
R,4.81963,0.152551,0.140505,1.24718,0.830598
L,1.08773,0.152183,0.140259,1.24414,0.828628
R,11.6939,0.15181,0.139935,1.24108,0.826595
L,0.971928,0.151463,0.13963,1.2381,0.824587
R,0.142472,0.151132,0.139323,1.23515,0.82259
L,0.868782,0.1509,0.139003,1.23228,0.820603
R,1.8848,0.150694,0.138692,1.22944,0.818655
L,0.58773,0.150645,0.138414,1.22671,0.816742
R,0.112798,0.150663,0.138142,1.22402,0.814846
L,4.70042,0.15038,0.137899,1.22118,0.81299
