SENSOR_TYPE,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,0.100443,0.0875819,0.485914,0.484582
L,0.100319,0.0875032,0.485387,0.484576
R,0.100216,0.0874347,0.484783,0.484575
L,0.1001,0.0874028,0.484296,0.484722
R,0.0999739,0.0874468,0.483897,0.48505
L,0.0998487,0.0873688,0.483858,0.484928
R,0.0997242,0.0874073,0.483841,0.485174
L,0.0996131,0.0875938,0.484096,0.485724
R,0.0995078,0.0879061,0.484112,0.48634
L,0.0994546,0.0879579,0.484543,0.486313
R,0.0994174,0.0881256,0.484129,0.486328
L,0.0994248,0.0880205,0.483968,0.485777
R,0.0993959,0.0879313,0.483384,0.485255
L,0.099296,0.0878263,0.48283,0.484634
R,0.0991731,0.0877202,0.482208,0.484021
L,0.0990477,0.087624,0.481594,0.483409
R,0.0989261,0.0875146,0.480979,0.482834
L,0.0988015,0.0875329,0.480478,0.482693
R,0.0986783,0.0875834,0.479989,0.482532
L,0.0985744,0.0877625,0.479732,0.48251
R,0.0984617,0.0879969,0.479406,0.482456
L,0.0983426,0.0880629,0.479223,0.482084
R,0.0982193,0.0882554,0.478653,0.481812
L,0.098096,0.0884128,0.478192,0.481437
R,0.0979739,0.0887054,0.477697,0.481141
L,0.0978662,0.0888102,0.477413,0.480622
R,0.0977505,0.0889396,0.476845,0.480102
L,0.0976285,0.0888388,0.476325,0.479543
R,0.0975078,0.0887383,0.475735,0.478977
L,0.0973869,0.0886741,0.475214,0.478662
R,0.0972683,0.0886238,0.474722,0.478324
L,0.0971883,0.0887118,0.474487,0.478213
R,0.0970981,0.0889757,0.474287,0.478292
L,0.0970229,0.08914,0.474331,0.478117
R,0.0969613,0.0892072,0.474215,0.477736
L,0.0969476,0.0891525,0.47442,0.477201
R,0.096919,0.0890868,0.474148,0.476647
L,0.0969496,0.0889789,0.474161,0.476071
R,0.0970066,0.0888739,0.474188,0.475496
L,0.0971127,0.0887691,0.474453,0.474938
R,0.0971934,0.0886624,0.474049,0.474369
L,0.0972545,0.0886806,0.473728,0.474051
R,0.0973534,0.0887394,0.473322,0.47376
L,0.0974891,0.0887116,0.473087,0.47334
R,0.097592,0.0886624,0.472661,0.472873
L,0.0979534,0.0885571,0.472596,0.472318
R,0.0982879,0.0884525,0.472299,0.471759
L,0.0984923,0.0883542,0.472011,0.471271
R,0.0985996,0.0882538,0.471677,0.470796
L,0.0988208,0.0881501,0.471573,0.470325
R,0.0989585,0.0880462,0.471203,0.469848
L,0.0990405,0.0879621,0.470869,0.469529
R,0.0990468,0.0878721,0.470318,0.469127
L,0.0990007,0.0877706,0.469779,0.4687
R,0.0989369,0.08767,0.469245,0.468202
L,0.0988717,0.0875926,0.468699,0.467684
R,0.0988273,0.0874983,0.468295,0.467284
L,0.0988334,0.0874353,0.468053,0.466837
R,0.0988853,0.0873633,0.467779,0.466424
L,0.0988335,0.0872834,0.467408,0.466504
R,0.0987497,0.0871914,0.466919,0.466418
L,0.0986498,0.087106,0.466452,0.466419
R,0.0985366,0.0870164,0.465925,0.466262
L,0.0984317,0.0869174,0.465406,0.465973
R,0.0983237,0.0868188,0.465064,0.465581
L,0.0982125,0.0867219,0.464577,0.465212
R,0.0981025,0.0866409,0.464049,0.465159
L,0.0979994,0.0865481,0.463541,0.465043
R,0.0979032,0.0864606,0.463025,0.464927
L,0.0978245,0.0865222,0.462595,0.464414
R,0.097759,0.0864945,0.462311,0.464059
L,0.0978103,0.0864351,0.462252,0.463817
R,0.0977706,0.0863589,0.461748,0.463506
L,0.0976909,0.0862668,0.461239,0.463351
R,0.0976314,0.0861712,0.460796,0.463429
L,0.0976754,0.0860839,0.460524,0.463314
R,0.0977816,0.0859899,0.460334,0.463306
L,0.0979826,0.0859408,0.46031,0.463079
R,0.0980938,0.0858585,0.459898,0.462885
L,0.0980662,0.0857775,0.459422,0.462757
R,0.0980605,0.0856969,0.458925,0.462556
L,0.0980253,0.0856108,0.458429,0.462438
R,0.0979359,0.0855635,0.458055,0.462028
L,0.097835,0.0854705,0.457812,0.46188
R,0.0977511,0.085387,0.457437,0.462075
L,0.0976972,0.085325,0.45706,0.46241
R,0.0976829,0.0853065,0.456806,0.46274
L,0.0977057,0.0853861,0.45653,0.463325
R,0.0977986,0.0855354,0.456376,0.46385
L,0.0978317,0.0857424,0.456052,0.464383
R,0.0979383,0.0860695,0.455902,0.464851
L,0.0979153,0.0861184,0.455475,0.464753
R,0.0979071,0.0862224,0.45505,0.464728
L,0.0978085,0.0861409,0.454574,0.464319
R,0.0977947,0.0860586,0.454298,0.463835
L,0.0977808,0.0859741,0.45396,0.463365
R,0.0977512,0.0858853,0.453482,0.462977
L,0.0976678,0.0858701,0.453027,0.462485
R,0.0976026,0.0858693,0.452546,0.461996
L,0.0976895,0.085818,0.452175,0.461858
R,0.097806,0.0858276,0.451748,0.461992
L,0.0978361,0.0857605,0.451273,0.461835
R,0.0979193,0.085701,0.450854,0.461563
L,0.0979833,0.085776,0.450428,0.461556
R,0.0981138,0.0859708,0.450051,0.461669
L,0.0981032,0.0859452,0.449581,0.461368
R,0.0981046,0.0859553,0.449113,0.461135
L,0.0980701,0.0860844,0.448647,0.461053
R,0.098105,0.0862562,0.448207,0.460905
L,0.0980457,0.0863755,0.447747,0.460651
R,0.0980183,0.0863402,0.447473,0.460237
L,0.0980719,0.0862549,0.447237,0.459874
R,0.098136,0.0861672,0.446934,0.459466
L,0.0981079,0.0860833,0.446509,0.459096
R,0.0980671,0.0860021,0.446061,0.458664
L,0.0980233,0.0859765,0.445609,0.458329
R,0.097938,0.0859063,0.445172,0.457874
L,0.0978531,0.0858692,0.444729,0.457454
R,0.0977583,0.0857969,0.444298,0.456993
L,0.0976677,0.085768,0.443854,0.456568
R,0.0975689,0.0856847,0.443428,0.456111
L,0.0976556,0.0856796,0.443481,0.455835
R,0.0977633,0.0856609,0.443464,0.455471
L,0.0976689,0.0855747,0.443023,0.455014
R,0.0975722,0.0854889,0.442584,0.454568
L,0.0974749,0.0854044,0.44214,0.454121
