SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0.46028,0.080184,0.0786491,0.623754,0.377457
R,4.29641,0.0800699,0.0790777,0.621826,0.376872
L,0.399075,0.0798448,0.0798366,0.619952,0.376476
R,5.15351,0.0796278,0.0804912,0.618112,0.375858
L,1.97299,0.0795265,0.0807114,0.616242,0.375012
R,1.00107,0.0794033,0.0808879,0.614394,0.374131
L,1.0789,0.0791663,0.0811378,0.612635,0.373279
R,2.53879,0.0789332,0.0812168,0.610949,0.372246
L,0.594335,0.0788212,0.0813708,0.609418,0.371239
R,1.47848,0.0788201,0.0814812,0.607951,0.370218
L,1.31471,0.078615,0.0814696,0.606298,0.369173
R,4.3386,0.0784838,0.0815776,0.604728,0.368176
L,1.90638,0.0782618,0.0818361,0.603075,0.36725
R,0.0478472,0.0780522,0.0821713,0.601456,0.366369
L,0.0906484,0.0778346,0.0825501,0.599833,0.365513
R,3.38278,0.0776445,0.0829581,0.598247,0.364733
L,1.97945,0.0775019,0.0831507,0.596559,0.363866
R,0.27232,0.0773588,0.0833867,0.594891,0.363001
L,0.449773,0.0773852,0.0835303,0.593227,0.362104
R,0.625533,0.0773837,0.083615,0.591578,0.361166
L,0.275225,0.0775388,0.0836168,0.589944,0.360209
R,2.94711,0.0776313,0.0835352,0.588321,0.359234
L,0.576944,0.0780732,0.0833772,0.586735,0.358253
R,1.68881,0.0786362,0.0833047,0.585168,0.357332
L,0.849061,0.0788643,0.0832176,0.583584,0.356417
R,1.65918,0.0790052,0.0832205,0.582018,0.355566
L,1.47695,0.0791624,0.0830852,0.580463,0.354656
R,4.7763,0.0791818,0.0828892,0.578942,0.353712
L,0.320061,0.0790354,0.082708,0.577507,0.35278
R,1.49931,0.0789073,0.0825358,0.576069,0.351874
L,0.828098,0.0787251,0.0823305,0.574688,0.35096
R,1.36894,0.0785215,0.082118,0.573388,0.350045
L,1.14925,0.078433,0.0819052,0.57235,0.349137
R,7.34339,0.0783549,0.0816977,0.57126,0.348287
L,1.44305,0.0781538,0.0814911,0.569938,0.34742
R,3.38534,0.077982,0.081305,0.568732,0.346533
L,0.733486,0.0777883,0.0811267,0.567408,0.345652
R,2.37299,0.0775972,0.0809387,0.566087,0.344808
L,4.5513,0.0774056,0.0809487,0.564759,0.343943
R,3.12999,0.0772177,0.0808306,0.563517,0.343145
L,0.0388228,0.0770295,0.0807109,0.562291,0.342362
R,2.05009,0.0768566,0.080664,0.561136,0.341517
L,0.393423,0.0766909,0.0807047,0.559996,0.340675
R,5.04335,0.07652,0.0807239,0.558872,0.339841
L,1.5945,0.0763554,0.0806058,0.557798,0.339022
R,1.17815,0.0762119,0.0805647,0.556776,0.338202
L,1.215,0.0760296,0.0806781,0.555581,0.337406
R,1.76751,0.0758509,0.0806594,0.554468,0.336603
L,0.562753,0.0756726,0.0805868,0.553307,0.335822
R,1.12282,0.0754972,0.0805734,0.552154,0.335026
L,1.58244,0.0754989,0.080515,0.550878,0.334246
R,2.82761,0.07547,0.0806037,0.549629,0.333468
L,0.127412,0.0753398,0.0806958,0.548466,0.332691
R,1.4881,0.0751739,0.0806719,0.547395,0.331927
L,0.605087,0.0750968,0.0806251,0.54623,0.331177
R,2.93481,0.0750059,0.0804831,0.54511,0.330605
L,1.838,0.0749091,0.0803047,0.544517,0.330103
R,1.06843,0.0748855,0.0801207,0.544081,0.329795
L,0.713828,0.0747501,0.0799414,0.543426,0.329518
R,1.10332,0.0746382,0.0797602,0.542837,0.329065
L,1.92152,0.0751342,0.0795795,0.543055,0.328566
R,3.3909,0.0756792,0.0794001,0.543279,0.327948
L,0.188602,0.0762236,0.0792227,0.543456,0.327353
R,3.90863,0.0767641,0.0790532,0.543548,0.326667
L,0.389645,0.0776204,0.0789018,0.543853,0.325969
R,3.01112,0.0784052,0.0787596,0.54402,0.325258
L,2.65103,0.0785589,0.0785992,0.543543,0.324567
R,3.34464,0.0788112,0.0784565,0.543123,0.323856
L,1.85365,0.07873,0.078327,0.542296,0.32315
R,0.849773,0.0787222,0.0781859,0.541569,0.322452
L,0.810812,0.0786137,0.0780226,0.540702,0.321775
R,1.16603,0.0785368,0.0778555,0.539902,0.321163
L,1.62049,0.078453,0.0777009,0.539085,0.320508
R,0.67654,0.0784141,0.0775658,0.538321,0.31983
L,0.5885,0.0784416,0.077479,0.537631,0.319149
R,2.76302,0.0784118,0.0773684,0.536879,0.318489
L,2.87456,0.0784042,0.0772063,0.536172,0.317918
R,2.06745,0.0784464,0.0770496,0.535498,0.31727
L,0.207545,0.0784531,0.0768888,0.534783,0.316642
R,3.42888,0.0783493,0.0767291,0.533921,0.316025
L,0.298353,0.0783709,0.0765704,0.533226,0.315399
R,5.48092,0.078528,0.0764509,0.53265,0.314747
L,0.661596,0.0785522,0.0763174,0.531935,0.314104
R,7.15734,0.0784025,0.0762084,0.530956,0.31347
L,0.400091,0.0782424,0.0760753,0.529944,0.31283
R,1.28585,0.0780953,0.075966,0.528998,0.312195
L,1.39818,0.0780348,0.0759738,0.528197,0.311585
R,4.19036,0.078063,0.0761026,0.52745,0.31108
L,0.0767799,0.0782316,0.0762759,0.526823,0.310573
R,3.98757,0.0782405,0.0764417,0.526047,0.310029
L,1.22086,0.0782524,0.0764577,0.525276,0.309427
R,3.0484,0.0781861,0.0764709,0.524386,0.308853
L,0.530847,0.0780903,0.07642,0.523473,0.308251
R,0.0256477,0.0780301,0.0763694,0.522611,0.307647
L,1.66856,0.077904,0.0762397,0.521682,0.307056
R,2.99276,0.0777536,0.0761006,0.520691,0.306459
L,2.08221,0.0776338,0.0759541,0.519677,0.305904
R,0.970177,0.0775125,0.0758073,0.518674,0.305356
L,0.347487,0.0773707,0.0756622,0.517698,0.304792
R,4.72635,0.0772473,0.075566,0.516707,0.304206
L,0.00849176,0.077125,0.0754685,0.515727,0.303623
R,1.37099,0.0770679,0.0753462,0.514743,0.303044
L,0.790976,0.0770036,0.0752029,0.513763,0.302499
R,0.0644476,0.076933,0.0750623,0.512792,0.301972
L,0.493111,0.0768941,0.0749452,0.511825,0.301508
R,4.76191,0.0769132,0.074822,0.51087,0.301005
L,1.1097,0.0770124,0.0747681,0.509924,0.300601
R,1.09625,0.0772648,0.074758,0.509024,0.300229
L,3.38264,0.0773043,0.0747236,0.508081,0.299799
R,1.14935,0.0773302,0.0746336,0.50714,0.299308
L,2.69492,0.0772307,0.0745292,0.506221,0.298796
R,5.04013,0.0771174,0.0746126,0.505314,0.298471
L,1.00103,0.0769765,0.0747076,0.50446,0.298139
R,30.3563,0.0768372,0.0748207,0.503652,0.297816
L,1.08319,0.0767171,0.0749384,0.502948,0.297488
R,4.33591,0.0765886,0.0748778,0.5022,0.297017
L,2.12341,0.0764502,0.074745,0.501404,0.296486
R,5.94019,0.0763126,0.0746146,0.500562,0.295976
L,0.636873,0.0761858,0.074534,0.499775,0.295552
R,2.42211,0.0761059,0.0745721,0.49907,0.295287
L,0.959506,0.0759957,0.0745427,0.498326,0.294941
R,4.79099,0.0758674,0.0745855,0.497486,0.294754
L,0.137655,0.0757618,0.0747255,0.496688,0.294672
R,3.58711,0.0756327,0.0747949,0.495862,0.294474
L,0.57812,0.0755003,0.0748155,0.495021,0.294199
R,1.6049,0.0753819,0.0748331,0.494163,0.293922
L,1.04094,0.0752546,0.0750477,0.493361,0.293875
R,0.208069,0.075135,0.0753081,0.492596,0.293834
L,1.10975,0.0750371,0.0754534,0.49186,0.293672
R,4.34317,0.0749336,0.075807,0.491135,0.293704
L,3.63445,0.0748183,0.0758167,0.490372,0.29338
R,0.579295,0.0747103,0.0758441,0.489611,0.293104
L,0.35891,0.0745949,0.0759456,0.48885,0.292904
R,0.361756,0.0744838,0.0761273,0.488106,0.292784
L,0.844388,0.0743642,0.0764951,0.48736,0.292826
R,2.45445,0.0742663,0.0768724,0.486722,0.292773
L,0.119519,0.0742224,0.0773653,0.486159,0.292842
R,4.07262,0.0742373,0.0776797,0.485708,0.292701
L,1.33859,0.0741822,0.0780425,0.485172,0.29259
R,0.35261,0.074158,0.0784629,0.484686,0.292525
L,0.119351,0.0741809,0.0788738,0.484233,0.292477
R,6.21034,0.0743673,0.0791237,0.483966,0.292281
L,3.28833,0.0745805,0.0790805,0.483649,0.291877
R,0.97078,0.0748321,0.0790639,0.483333,0.291522
L,0.187796,0.0753255,0.0791505,0.483151,0.291318
R,7.33018,0.0756254,0.0792386,0.482735,0.29117
L,0.557431,0.0758444,0.0793208,0.482246,0.291014
R,1.11322,0.0761196,0.0794206,0.481736,0.290936
L,2.75684,0.0762135,0.0796191,0.481118,0.290926
R,2.12571,0.0762955,0.0797899,0.48047,0.290905
L,2.75039,0.0762298,0.0800136,0.479742,0.290869
R,1.28944,0.0762095,0.0802251,0.479051,0.290808
L,2.09948,0.0763821,0.0804514,0.47845,0.290831
R,1.9109,0.0766392,0.0806439,0.477883,0.290821
L,2.3086,0.07707,0.0806981,0.477362,0.290693
R,1.89282,0.0776663,0.0807128,0.476961,0.290479
L,0.651509,0.0782535,0.0806368,0.476513,0.290162
R,2.83706,0.0787895,0.0805899,0.475934,0.289974
L,1.47371,0.0794242,0.0804783,0.475363,0.289673
R,1.88981,0.0802287,0.0803548,0.474884,0.289315
L,3.26921,0.0806134,0.0802303,0.474252,0.288902
R,2.9619,0.0808848,0.0801057,0.47356,0.288519
L,1.63698,0.0811731,0.0800336,0.472868,0.288076
R,4.21505,0.0815944,0.0800598,0.47225,0.287641
L,0.477504,0.0819817,0.0800516,0.471612,0.287199
R,2.88115,0.0822646,0.0800095,0.470907,0.28677
L,0.236241,0.0825593,0.0799215,0.470205,0.286383
R,0.255536,0.0829034,0.0798275,0.469517,0.286011
L,1.53431,0.0830046,0.0799002,0.468804,0.285577
R,4.42245,0.0830363,0.079916,0.468094,0.285146
L,3.61543,0.0829748,0.0798237,0.467399,0.284765
R,2.19162,0.0829164,0.0797515,0.466695,0.284353
L,1.41843,0.0828188,0.079639,0.466002,0.283995
R,2.47215,0.0827144,0.0795488,0.465307,0.283593
L,0.461631,0.0826002,0.0795399,0.464618,0.28317
R,5.25878,0.0825246,0.0795903,0.463927,0.28275
L,1.15487,0.0824035,0.0797884,0.463244,0.282371
R,7.49483,0.0822815,0.0798228,0.462578,0.281954
L,0.349141,0.0821681,0.0798423,0.461931,0.281539
R,1.75304,0.0820669,0.0798857,0.461281,0.281125
L,0.191246,0.0819847,0.0800423,0.460642,0.280723
R,0.854124,0.0818997,0.0802916,0.459985,0.280345
L,1.02765,0.0817815,0.0803288,0.459317,0.279945
R,1.67397,0.0816627,0.080338,0.458656,0.279568
L,0.17013,0.0815469,0.0803044,0.458004,0.279227
R,3.97909,0.0814291,0.0802773,0.457358,0.278901
L,1.93322,0.081313,0.0805171,0.456716,0.278499
R,1.27784,0.0811962,0.0808676,0.456063,0.278106
L,0.920341,0.0810866,0.0816668,0.455415,0.277828
R,5.18134,0.0809783,0.0827594,0.454768,0.277641
L,7.02476,0.0808842,0.0827935,0.45412,0.277349
R,1.57265,0.0807811,0.0827545,0.453478,0.277151
L,0.479768,0.0806859,0.0827574,0.452838,0.276905
R,2.45449,0.0805771,0.0827494,0.452208,0.276662
L,0.900324,0.0804988,0.0826939,0.451573,0.276505
R,1.91441,0.0804046,0.0826215,0.450945,0.276363
L,0.946588,0.0803521,0.0825122,0.450316,0.276589
R,6.61899,0.080362,0.0823972,0.449695,0.276611
L,0.0864753,0.0803981,0.0822976,0.449073,0.276791
R,1.93212,0.0804345,0.0822107,0.448449,0.277002
L,0.882338,0.0804,0.0821667,0.447837,0.277286
R,0.954982,0.0803948,0.0821631,0.447223,0.277607
L,3.23909,0.0803084,0.0820542,0.446626,0.277379
R,4.08599,0.0802297,0.0819463,0.446013,0.277112
L,1.52082,0.0801199,0.0818745,0.445417,0.276761
R,1.35385,0.0800116,0.0817917,0.44485,0.276422
L,0.482968,0.0799033,0.0816965,0.444274,0.276103
R,0.849395,0.079795,0.0816012,0.443717,0.27578
L,0.991103,0.0796879,0.0815132,0.443165,0.27564
R,2.12953,0.0795816,0.0814163,0.442601,0.275439
L,2.09991,0.0794758,0.0813422,0.442024,0.275079
R,3.63896,0.079369,0.0812613,0.44144,0.274719
L,3.63681,0.0793177,0.0811523,0.440848,0.274428
